timestamp,Sonar_normal,Sonar_abnormal,Thruster_normal,Thruster_abnormal
1774864604.117,0.000,1.000,1.000,0.000
1774864604.127,0.000,1.000,1.000,0.000
1774864604.138,0.000,1.000,1.000,0.000
1774864604.148,0.000,1.000,1.000,0.000
1774864604.158,0.000,1.000,1.000,0.000
1774864604.168,0.000,1.000,1.000,0.000
1774864604.179,0.000,1.000,1.000,0.000
1774864604.189,0.000,1.000,1.000,0.000
1774864604.199,0.000,1.000,0.963,0.037
1774864604.209,0.000,1.000,1.000,0.000
1774864604.220,0.000,1.000,1.000,0.000
1774864604.230,0.000,1.000,1.000,0.000
1774864604.240,1.000,0.000,1.000,0.000
1774864604.250,1.000,0.000,1.000,0.000
1774864604.261,1.000,0.000,1.000,0.000
1774864604.271,1.000,0.000,1.000,0.000
1774864604.281,1.000,0.000,0.907,0.093
1774864604.291,1.000,0.000,0.811,0.189
1774864604.301,1.000,0.000,1.000,0.000
1774864604.312,1.000,0.000,1.000,0.000
1774864604.322,1.000,0.000,1.000,0.000
1774864604.332,1.000,0.000,1.000,0.000
1774864604.342,1.000,0.000,1.000,0.000
1774864604.353,1.000,0.000,1.000,0.000
1774864604.363,0.000,1.000,1.000,0.000
1774864604.373,0.000,1.000,1.000,0.000
1774864604.383,0.000,1.000,1.000,0.000
1774864604.394,0.000,1.000,1.000,0.000
1774864604.404,0.000,1.000,1.000,0.000
1774864604.414,0.000,1.000,1.000,0.000
1774864604.424,0.000,1.000,1.000,0.000
1774864604.435,0.386,0.614,1.000,0.000
1774864604.445,0.000,1.000,1.000,0.000
1774864604.455,0.000,1.000,1.000,0.000
1774864604.465,0.000,1.000,1.000,0.000
1774864604.476,0.000,1.000,1.000,0.000
1774864604.486,0.000,1.000,1.000,0.000
1774864604.496,0.000,1.000,1.000,0.000
1774864604.506,1.000,0.000,1.000,0.000
1774864604.517,1.000,0.000,1.000,0.000
1774864604.527,1.000,0.000,1.000,0.000
1774864604.537,1.000,0.000,1.000,0.000
1774864604.547,1.000,0.000,1.000,0.000
1774864604.558,1.000,0.000,1.000,0.000
1774864604.568,1.000,0.000,1.000,0.000
1774864604.578,1.000,0.000,1.000,0.000
1774864604.588,1.000,0.000,1.000,0.000
1774864604.598,1.000,0.000,1.000,0.000
1774864604.609,1.000,0.000,1.000,0.000
1774864604.619,0.000,1.000,1.000,0.000
1774864604.629,0.000,1.000,0.950,0.050
1774864604.639,0.000,1.000,1.000,0.000
1774864604.650,0.000,1.000,1.000,0.000
1774864604.660,0.000,1.000,1.000,0.000
1774864604.670,0.000,1.000,1.000,0.000
1774864604.680,0.000,1.000,1.000,0.000
1774864604.691,0.000,1.000,1.000,0.000
1774864604.701,0.000,1.000,1.000,0.000
1774864604.711,0.000,1.000,1.000,0.000
1774864604.721,0.000,1.000,1.000,0.000
1774864604.732,0.000,1.000,1.000,0.000
1774864604.742,0.000,1.000,1.000,0.000
1774864604.752,0.000,1.000,1.000,0.000
1774864604.762,0.000,1.000,1.000,0.000
1774864604.773,1.000,0.000,0.975,0.025
1774864604.783,1.000,0.000,1.000,0.000
1774864604.793,0.867,0.133,1.000,0.000
1774864604.803,1.000,0.000,1.000,0.000
1774864604.814,1.000,0.000,1.000,0.000
1774864604.824,1.000,0.000,1.000,0.000
1774864604.834,1.000,0.000,1.000,0.000
1774864604.844,1.000,0.000,1.000,0.000
1774864604.855,1.000,0.000,1.000,0.000
1774864604.865,1.000,0.000,1.000,0.000
1774864604.875,1.000,0.000,1.000,0.000
1774864604.885,1.000,0.000,1.000,0.000
1774864604.896,0.221,0.779,0.718,0.282
1774864604.906,1.000,0.000,1.000,0.000
1774864604.916,1.000,0.000,1.000,0.000
1774864604.926,1.000,0.000,0.815,0.185
1774864604.937,0.997,0.003,0.683,0.317
1774864604.947,1.000,0.000,0.960,0.040
1774864604.957,1.000,0.000,1.000,0.000
1774864604.967,1.000,0.000,1.000,0.000
1774864604.978,1.000,0.000,1.000,0.000
1774864604.988,0.000,1.000,1.000,0.000
1774864604.998,0.000,1.000,1.000,0.000
1774864605.008,0.000,1.000,1.000,0.000
1774864605.019,0.000,1.000,1.000,0.000
1774864605.029,0.094,0.906,1.000,0.000
1774864605.039,1.000,0.000,1.000,0.000
1774864605.049,0.000,1.000,1.000,0.000
1774864605.060,0.000,1.000,1.000,0.000
1774864605.070,0.000,1.000,1.000,0.000
1774864605.080,0.043,0.957,0.962,0.038
1774864605.090,0.000,1.000,0.936,0.064
1774864605.101,0.000,1.000,1.000,0.000
1774864605.111,0.000,1.000,1.000,0.000
1774864605.121,0.000,1.000,1.000,0.000
1774864605.131,0.000,1.000,1.000,0.000
1774864605.142,0.000,1.000,1.000,0.000
1774864605.152,0.000,1.000,0.681,0.319
1774864605.162,0.000,1.000,1.000,0.000
1774864605.172,0.000,1.000,1.000,0.000
1774864605.183,0.000,1.000,1.000,0.000
1774864605.193,0.000,1.000,1.000,0.000
1774864605.203,0.000,1.000,1.000,0.000
